the,ðә
separated,"'sepәreitid"
sitter,"'sitә"
thrash,θræʃ
geology,"dʒi'ɒlәdʒi"
hospitalization,",hɔspitәlai'zeiʃәn"
boon,bu:n
pointless,"'pɒintlis"
lengthen,"'leŋθәn"
accelerator,"әk'selәreitә"
yarn,jɑ:n
ploy,plɒi
pretense,"pri'tens"
liturgy,"'litәdʒi"
teeter,"'ti:tә"
stirring,"'stә:riŋ"
logically,"'lɔdʒikәli"
bale,beil
converse,"kәn'vә:s"
unborn,".ʌn'bɒ:n"
led,led
stroller,"'strәulә"
barley,"'bɑ:li"
slay,slei
conformity,"kәn'fɒ:miti"
benevolent,"bi'nevәlәnt"
coward,"'kauәd"
briskly,"'briskli"
shaped,ʃeipt
fabrication,".fæbri'keiʃәn"
fearless,"'fiәlis"
clockwise,"'klɒkwaiz"
croat,"'krәuәt"
microorganism,".maikrәu'ɒ:gәnizm"
georgian,"'dʒɒ:dʒjәn"
deceptive,"di'septiv"
strut,strʌt
dormant,"'dɒ:mәnt"
californian,".kæli'fɒ:njәn"
destroyer,"di'strɒiә"
vertically,"'vetikli"
balancing,"'bælәnsiŋ"
acclaimed,"ə'kleɪmd"
manpower,"'mænpauә"
toasted,təustid
carnage,"'kɑ:nidʒ"
relativity,".relә'tiviti"
juncture,"'dʒʌŋktʃә"
coherence,"kәu'hiәrәns"
rebirth,".ri:'bә:θ"
ration,"'ræʃәn"
birch,bә:tʃ
antidote,"'æntidәut"
barbed,bɑ:bd
treatise,"'tri:tis"
manufactured,",mænju'fæktʃәd"
purge,pә:dʒ
reactive,"ri'æktiv"
lunchtime,"'lʌntʃtaim"
quiver,"'kwivә"
duke,dju:k
legitimize,"li'dʒitimaiz"
lobe,lәub
deteriorating,diˈtiəriəreitɪŋ
ingenious,"in'dʒi:njәs"
labyrinth,"'læbәrinθ"
intertwine,".intә'twain"
vigilant,"'vidʒilәnt"
antelope,"'æntilәup"
calculator,"'kælkjuleitә"
appal,"ә'pɒ:l"
birthplace,"'bә:θpleis"
contagious,"kәn'teidʒәs"
inspirational,".inspә'reiʃәnәl"
replay,".ri:'plei"
counterproductive,".kauntәprә'dʌktiv"
saliva,"sә'laivә"
disarmament,"dis'ɑ:mәmәnt"
utopian,"ju:'tәupiәn"
autobiographical,"ɔ:tәjbaiә'^ræfik(ә)l"
enlighten,"in'laitn"
sushi,"'su:ʃi"
headphone,"'hedfәun"
sporadic,"spәu'rædik"
sufferer,"'sʌfәrә"
totalitarian,".tәutæli'tєәriәn"
troupe,tru:p
veterinarian,".vetәri'nєәriәn"
contrasting,kənˈtrɑ:stɪŋ
stiffness,"'stifnis"
blockade,"blɒ'keid"
outcry,"'autkrai"
oregano,"ɔ:'re^әnәu, ә-"
stewardship,"'stju:wәdʃip"
shin,ʃin
unavoidable,".ʌnә'vɒidәbl"
prosthesis,"'prɔsθi:sis"
pore,pɒ:
surfer,"'sә:fә"
reunification,",ri:ju:nifi'keiʃәn,ri:,ju:-"
lemonade,".lemә'neid"
milieu,"'mi:ljә:"
rooster,"'ru:stә"
procurement,"prә'kjuәmәnt"
topical,"'tɒpikl"
encode,"in'kәud"
ligament,"'ligәmәnt"
unconditional,".ʌnkәn'diʃәnl"
plop,plɒp
superstition,".sju:pә'stiʃәn"
supremacy,"sju'premәsi"
victorious,"vik'tɔ:riәs"
rave,reiv
hugely,"'hju:dʒli"
spaceship,"'speisʃip"
hazy,"'heizi"
swan,swɒn
boulevard,"'bu:lәvɑ:d"
smallpox,"'smɒ:lpɒks"
squid,skwid
groin,^rɔin
stench,stentʃ
sabotage,"'sæbәtɑ:ʒ"
solvent,"'sɒlvәnt"
thematic,"θi:'mætik"
crutch,krʌtʃ
dashboard,"'dæʃbɒ:d"
insensitive,"in'sensitiv"
puffy,"'pʌfi"
ingenuity,".indʒi'nju:iti"
tally,"'tæli"
cascade,"kæ'skeid"
rescuer,"'reskjuә"
baltic,"'bɒ:ltik"
foreseeable,"'fɒ:'si:әbl"
conscientious,".kɒnʃi'enʃәs"
charisma,"kә'rizmә"
diaspora,"dai'æspәrә"
baptism,"'bæptizm"
subtitle,"'sʌb.taitl"
composting,"'kɔmpɔstiŋ"
threatened,"'θretənd"
optimize,"'ɒptimaiz"
retribution,".retri'bju:ʃәn"
budding,"'bʌdiŋ"
parochial,"pә'rәukiәl"
stony,"'stәuni"
caucasian,"kɒ:'keiziәn"
totality,"'tәutæliti"
bloodshed,"'blʌdʃed"
decry,"di'krai"
apprehend,".æpri'hend"
fennel,"'fenәl"
touring,"'tuәriŋ"
shaman,"'ʃæmәn"
coupling,"'kʌpliŋ"
shawl,ʃɒ:l
predominant,"pri'dɒminәnt"
tyrant,"'taiәrәnt"
reliably,"ri'laiәbli"
receiving,"ri'si:viŋ"
peddle,"'pedl"
depletion,"di'pli:ʃәn"
transcendent,"træn'sendәnt"
tremor,"'tremә"
sinking,"'siŋkiŋ"
worrisome,"'wʌrisәm"
spoken,"'spәukәn"
unheard,".ʌn'hә:d"
occupancy,"'ɒkjupәnsi"
planter,"'plæntә"
stormy,"'stɒ:mi"
subjectivity,",sʌbdʒek'tivәti"
fastball,"'fɑ:stbɔ:l"
knack,næk
instructive,"in'strʌktiv"
languish,"'læŋgwiʃ"
serpent,"'sә:pәnt"
fiddle,"'fidl"
commotion,"kә'mәuʃәn"
petite,"pә'tit"
frenchman,"'frentʃmәn"
stretcher,"'stretʃә"
bask,bɑ:sk
animosity,".æni'mɒsiti"
airwaves,"'eәweivz"
incomprehensible,"in.kɒmpri'hensәbl"
easel,"'i:zәl"
flawless,"'flɒ:lis"
staunch,stɒ:ntʃ
glucose,"'glu:kәus"
spasm,"'spæzm"
streamline,"'stri:mlain"
staging,"'steidʒiŋ"
squander,"'skwɒndә"
discontinue,".diskәn'tinju:"
beggar,"'begә"
medic,"'medik"
intestine,"in'testin"
etiquette,"eti'ket"
tripod,"'traipɒd"
prematurely,"'premətʃə(r)lɪ"
caress,"kә'res"
shutdown,"'ʃʌtdaun"
fruitful,"'fru:tful"
medicinal,"me'disinәl"
wicker,"'wikә"
ketchup,"'ketʃәp"
matchup,"'mætʃ,ʌp"
restroom,"'restru:m"
crushing,"'krʌʃiŋ"
immature,".imә'tjuә"
dishwasher,"'diʃwɒʃә"
harshly,"'hɑ:ʃli"
junkie,"'dʒʌŋki"
hobble,"'hɒbl"
prognosis,"prɒg'nәusis"
intermediary,".intә'mi:diәri"
bourbon,"'buәbәn"
queer,kwiә
deportation,".di:pɒ:'teiʃәn"
fraught,frɒ:t
pathologist,"pæ'θɒlәdʒist"
riddle,"'ridl"
squeal,skwi:l
appellate,"ә'pelit"
galactic,"gә'læktik"
inadequacy,"in'ædikwәsi"
dribble,"'dribl"
perceptual,"pә'septʃuәl"
negligence,"'neglidʒәns"
volatility,".vɒlә'tiliti"
cheekbone,"'tʃi:kbәun"
silky,"'silki"
beaver,"'bi:vә"
torrent,"'tɒ:rәnt"
tort,tɒ:t
locomotive,".lәukә'mәutiv"
unconsciously,".ʌn'kɒnʃәsli"
weakly,"'wi:kli"
primal,"'praiml"
durability,",djuәrә'biliti"
dimly,"'dimli"
humankind,"'hju:mәnkaind"
mayonnaise,"meiә'neiz"
notification,".nәutifi'keiʃәn"
unmarked,".ʌn'mɑ:kt"
nitrate,"'naitreit"
mast,mɑ:st
fiance,"fi'ɒnsei"
dreamer,"'dri:mә"
grandeur,"'grændʒә"
candlelight,"'kændllait"
coarsely,"'kɒ:sli"
interracial,".intә'reiʃjәl"
shameful,"'ʃeimful"
utmost,"'ʌtmәust"
aptly,"'æptli"
groundwork,"'graundwә:k"
dogma,"'dɒgmә"
interstellar,"'intә'stelә"
mesmerize,"'mezmәraiz"
midwife,"'midwaif"
jack,dʒæk
chilean,"'tʃiliәn"
populace,"'pɒpjulәs"
protracted,"prәu'træktid"
fundamentalism,".fʌndә'mentәlizm"
lug,lʌg
elastic,"i'læstik"
peacekeeping,"'pi:s,ki:piŋ"
ruined,"'ruind"
baffle,"'bæfl"
bandit,"'bændit"
protrude,"prәu'tru:d"
pavilion,"pә'viljәn"
acculturation,"ә.kʌltʃә'reiʃәn"
cod,kɒd
breaker,"'breikә"
wanted,"'wɔntid. 'wɔ:n-"
precipitation,"pri.sipi'teiʃәn"
horrendous,"hɒ'rendәs"
densely,"'densli"
gingerly,"'dʒindʒәli"
childish,"'tʃaildiʃ"
obscenity,"ɒb'si:niti"
handbag,"'hændbæg"
befriend,"bi'frend"
heroism,"'herәuizm"
elf,elf
medalist,"'mædәlist"
wretched,"'retʃid"
interplay,"'intәplei"
exhale,"eks'heil"
teamwork,"'ti:mwә:k"
waft,wɑ:ft
doorbell,"'dɒ:bel"
moody,"'mu:di"
situational,"sitju'eiʃәnәl. -tʃu-"
guidebook,"'gaidbuk"
wasp,wɒsp
existential,".egzis'tenʃәl"
alloy,"'ælɒi. ә'lɒi"
discretionary,"dis'kreʃәnәri"
mischief,"'mistʃif"
optimist,"'ɔptimist"
manhood,"'mænhud"
aristocratic,"æristә'krætik"
adjunct,"'ædʒʌŋkt"
formative,"'fɒ:mәtiv"
helium,"'hi:liәm"
crumple,"'krʌmpl"
sludge,slʌdʒ
archbishop,"'ɑ:tʃ'biʃәp"
nutmeg,"'nʌtmeg"
feasibility,".fi:zә'biliti"
fray,frei
giftedness,"ɡɪf'tɪdnəs"
termite,"'tә:mait"
pellet,"'pelit"
taker,"'teikә"
tether,"'teðә"
connecting,"kә'nektiŋ"
fencing,"'fensiŋ"
approximate,"ә'prɒksimәt"
unprotected,"'ʌnprә'tektid"
workload,"'wә:klәud"
verbally,"'v\\:bәli"
prelude,"'prelju:d"
glitter,"'glitә"
forbidden,"fә'bidn"
redwood,"'redwud"
dissect,"di'sekt"
modesty,"'mɒdisti"
abyss,"ә'bis"
attrition,"ә'triʃәn"
rout,raut
enclosed,"in'klәuzd"
anterior,"æn'tiәriә"
stuffing,"'stʌfiŋ"
estranged,"i'streindʒd"
coding,"'kәudiŋ"
cosmology,"kɒz'mɒlәdʒi"
fantasize,"'fæntәsaiz"
grassland,"'græslænd"
idealistic,"ai'diәlistik"
alaskan,"ә'læskәn"
clandestine,"klæn'destin"
propagate,"'prɒpәgeit"
weaponry,"'wepәnri"
hind,haind
silvery,"'silvәri"
mysteriously,"mɪ'stɪərɪəslɪ"
borough,"'bә:rәu"
enigmatic,".enig'mætik"
tibetan,"ti'betn"
resting,"'restiŋ"
allure,"ә'luә"
distraught,"dis'trɒ:t"
unruly,".ʌn'ru:li"
wag,wæg
eschew,"is'tʃu:"
schizophrenia,".skizәu'fri:niә"
thankfully,"'θæŋkfulli"
bullying,ˈbuliŋ
piety,"'paiәti"
opium,"'әupjәm"
negotiated,niˈɡəuʃieitid
uniqueness,"ju:'ni:knis"
otter,"'ɒtә"
"y'all",jɔ:l
looming,"'lu:miŋ"
wither,"'wiðә"
liberating,ˈlibəreitɪŋ
reimburse,".ri:im'bә:s"
almighty,"ɒ:l'maiti"
bagel,"'beiɡәl"
solace,"'sɒlis"
carnival,"'kɑ:nivәl"
cancellation,"kænsә'leiʃәn"
airliner,"'єәlainә"
bullpen,"'bjlpen"
grossly,"'grәusli"
stratum,"'streitәm"
tar,tɑ:
jab,dʒæb
brute,bru:t
extinguish,"ik'stiŋgwiʃ"
ransom,"'rænsәm"
inaugurate,"i'nɒ:gjureit"
reconnaissance,"ri'kɒnisәns"
fluent,"'flu:әnt"
perpetrate,"'pә:pitreit"
leopard,"'lepәd"
screech,skri:tʃ
elective,"i'lektiv"
attendee,"æten'di:"
weaver,"'wi:vә"
bittersweet,"'bitәswi:t"
rationalize,"'ræʃәnәlaiz"
infertility,".infә'tiliti"
circumvent,".sә:kәm'vent"
digestive,"di'dʒestiv"
uphill,"'ʌp'hil"
infidelity,".infi'deliti"
bystander,"'baistændә(r)"
chilled,tʃild
hourly,"'auәli"
flannel,"'flænl"
tamper,"'tæmpә"
subset,"'sʌbset"
scorn,skɒ:n
venetian,"vә'ni:ʃәn"
blinding,"'blaindiŋ"
mash,mæʃ
temp,temp
contracting,"'kɔntræktiŋ"
conservationist,",kәnsә'veiʃәnist"
scholastic,"skә'læstik"
bunny,"'bʌni"
rushing,"'rʌʃiŋ"
latch,lætʃ
mitigation,".miti'geiʃәn"
probing,"'prәubiŋ"
recital,"ri'saitl"
vinaigrette,",vinei'^ret"
munch,mʌntʃ
counterterrorism,"'kaʊntəˌterərɪzəm"
exodus,"'eksәdәs"
paramilitary,".pærә'militәri"
midway,"'mid'wei"
untrue,".ʌn'tru:"
woven,"'wәuvәn"
warship,"'wɒ:ʃip"
tunic,"'tju:nik"
swerve,swә:v
compulsive,"kәm'pʌlsiv"
postoperative,"pәust'ɒpәrәtiv"
bliss,blis
assemblage,"ә'semblidʒ"
snug,snʌg
undeniable,".ʌndi'naiәbl"
incense,"'inseins"
scheduling,"'skedʒuәliŋ"
adjoining,"ә'dʒɒiniŋ"
burnt,bә:nt
ravage,"'rævidʒ"
incompetence,"in'kɔmpitәns"
serviceman,"'s\\:vismәn"
bearer,"'bєәrә"
specialization,".speʃәlai'zeiʃәn"
spreadsheet,"'spredʃi:t"
aha,"ɑ:'hɑ:"
harp,hɑ:p
plush,plʌʃ
trimming,"'trimiŋ"
koran,"kɒ'rɑ:n"
illegitimate,".ili'dʒitimәt"
plumber,"'plʌmә"
conceivably,"kәn'si:vәbli"
disqualify,"dis'kwɒlifai"
chrome,krәum
itch,itʃ
welsh,welʃ
latent,"'leitnt"
defending,diˈfendɪŋ
formality,"fɒ:'mæliti"
facilitator,"fә'siliteitә"
preferential,".prefә'renʃәl"
wherein,"hwєәr'in"
ethnically,"'eθnikli"
figurative,"'figjurәtiv"
spectral,"'spektrәl"
clamor,"'klæmә"
logistical," lə'dʒɪstɪkl"
waterproof,"'wɒtәpru:f"
workstation,"'wә:k.steiʃәn"
unwelcome,"ʌn'welkәm"
instill,"in'stil"
sequential,"si'kwenʃәl"
pumping,"'pʌmpiŋ"
desolate,"'desәlәt"
shrill,ʃril
skew,skju:
disarray,".disә'rei"
torment,"'tɒ:ment"
jesuit,"'dʒezjuit"
dissolution,".disә'lu:ʃәn"
retaliate,"ri'tælieit"
meteorite,"'mi:tiәrait"
wee,wi:
impersonal,"im'pә:sәnәl"
whiff,hwif
summertime,"'sʌmәtaim"
ashtray,"'æʃtrei"
prophetic,"prә'fetik"
momentary,"'mәumәntәri"
sculpt,skʌlpt
creed,kri:d
misuse,".mis'ju:z"
hangar,"'hæŋә"
pervade,"pә'veid"
amino,"'æminәu"
seamless,"'si:mlis"
unimaginable,".ʌni'mædʒinәbl"
polity,"'pɒliti"
negligible,"'neglidʒәbl"
poppy,"'pɒpi"
arcade,"ɑ:'keid"
mythic,"'miθik"
conduit,"'kɒndit"
seeming,"'si:miŋ"
suspense,"sә'spens"
grapefruit,"'greipfru:t"
anesthesia,".ænis'θi:ziә"
handout,"'hændaut"
strait,streit
tuxedo,"tʌk'si:dәu"
analytic,".ænә'litik"
sexism,"'seksizm"
ram,ræm
artichoke,"'ɑ:titʃәuk"
lapel,"lә'pel"
literate,"'litәrit"
papal,"'peipl"
endemic,"en'demik"
rapport,"ræ'pɒ:"
awakening,"ә'weikәniŋ"
resin,"'rezin"
masked,mæskt
spirited,"'spiritid"
fresco,"'freskәu"
parity,"'pærәti"
stupidity,"stju:'piditi"
compulsion,"kәm'pʌlʃәn"
fender,"'fendә"
gilded,"'gildid"
windfall,"'windfɒ:l"
feeble,fi:bl
devotee,".devә'ti:"
stinging,"'stiŋiŋ"
disintegration,"dis.inti'greiʃәn"
instrumentation,".instrumen'teiʃәn"
supplant,"sә'plɑ:nt"
deterrence,"di'tә:rәns"
gallop,"'gælәp"
obituary,"ә'bitjuәri"
diagonal,"dai'ægәnl"
tonic,"'tɒnik"
mammogram,"'mæmә,^ræm"
rarity,"'rєәrәti"
antler,"'æntlә"
nobility,"nәu'biliti"
sexist,"'seksist"
metropolis,"mi'trɒpәlis"
rudimentary,"ru:di'mentәri"
onward,"'ɒnwәd"
battleground,"'bætlgraund"
inequity,"in'ekwiti"
affectionate,"ә'fekʃәnәt"
mite,mait
counteract,".kauntә'rækt"
vignette,"vi'njet"
morgue,mɔ:^
detached,"di'tætʃt"
sesame,"'sesәmi"
clutter,"'klʌtә"
sill,sil
burrow,"'bʌrәu"
delinquency,"di'liŋkwәnsi"
vascular,"'væskjulә"
duet,"dju:'et"
airtight,"'єәtait"
camouflage,"'kæmuflɑ:ʒ"
cove,kәuv
replenish,"ri'pleniʃ"
tango,"'tæŋgәu"
dynamite,"'dainәmait"
agitate,"'ædʒiteit"
utterance,"'ʌtәrәns"
biomedical,",baiәu'medikәl"
proficient,"prә'fiʃәnt"
bluntly,"'blʌntli"
trolley,"'trɒli"
hardened,"'hɑ:dәnd"
requisite,"'rekwizit"
incarceration,"in.kɑ:sә'reiʃәn"
biceps,"'baiseps"
bent,bent
hectic,"'hektik"
nonstop,"nɒn'stɒp"
polarize,"'pәulәraiz"
quirk,kwә:k
undress,".ʌn'dres"
lovingly,"'lʌviŋli"
stagnant,"'stægnәnt"
gorge,gɒ:dʒ
earned,ә:nd
exude,"ig'zju:d"
litany,"'litәni"
detour,"'di:tuә"
regal,"'ri:gl"
concussion,"kәn'kʌʃәn"
campground,"'kæmpɡrәund"
interdependence,".intәdi'pendәns.-dәnsi"
accrue,"ә'kru:"
magnesium,"mæg'ni:ziәm"
aforementioned,"ә'fɒ:.menʃәnd"
evangelist,"i'vændʒilist"
proton,"'prәutɒn"
crimson,"'krimzәn"
fable,"'feibl"
fourteenth,"'fɒ:'ti:nθ"
illustrator,"'ilәstreitә"
tubing,"'tju:biŋ"
gull,gʌl
migratory,"'maigrәtәri"
earmark,"'iәmɑ:k"
finnish,"'finiʃ"
grimly,"'grimli"
potassium,"pә'tæsiәm"
proliferate,"prәәu'lifәreit"
citizenry,"'sitizәnri"
assured,"ә'ʃuәd"
impossibly,"im'pɒsәbli"
untreated,"'ʌn'tri:tid"
meltdown,"'meltdaun"
cadence,"'keidns"
rind,raind
civility,"si'viliti"
albanian,"æl'beinjәn"
lifeless,"'laiflis"
overrule,".әuvә'ru:l"
crisscross,"'kriskrɒs"
drilling,"'driliŋ"
warlord,"'wɒ:lɒ:d"
regularity,".regju'læriti"
unfavorable,".ʌn'feivәrәbl"
neutrality,"nju:'træliti"
pertain,"pә'tein"
incest,"'insest"
eater,"'i:tә"
disgruntled,"dis'^rʌnt(ә)ld"
quintessential,".kwinti'senʃәl"
joyous,"'dʒɒiәs"
hijacker,"'haidʒækә"
ultrasound,"'ʌltrә,saund"
toughness,"'tʌfnis"
incidental,".insi'dentәl"
burnout,"'bә:naut"
utilitarian,".ju:tili'tєәriәn"
wasted,"'weistid"
cede,si:d
doubtless,"'dautlis"
aerobics,".eiә'rәubiks"
telegram,"'teli^ræm"
enamel,"i'næml"
reliever,"ri'li:vә"
cumbersome,"'kʌmbәsәm"
kickoff,"'kikɒf"
engraving,"in'greiviŋ"
agrarian,"ә'grєәriәn"
concurrent,"kәn'kʌrәnt"
intermittent,".intә'mitәnt"
decreased,di:ˈkri:st
seaside,"'si:said"
stow,stәu
illiterate,"i'litәrәt"
faithfully,"'feiθfuli"
dumbbell,"'dʌmbel"
squeak,skwi:k
inventive,"in'ventiv"
maverick,"'mævәrik"
sunken,"'sʌŋkәn"
appendix,"ә'pendiks"
buff,bʌf
unsalted,"ʌn'sɔ:ltid"
grotesque,"grәu'tesk"
flowering,"'flauәriŋ"
camaraderie,".kæmә'rɑ:dәri:"
horribly,"'hɒrәbli"
sandstone,"'sændstәun"
prerogative,"pri'rɒgәtiv"
casing,"'keisiŋ"
tulip,"'tju:lip"
triangular,"trai'æŋgjulә"
coercive,"kәu'ә:siv"
heartfelt,"'hɑ:tfelt"
owing,"'әuiŋ"
wand,wɒnd
freestyle,"'fri:stail"
reread,".ri:'ri:d"
paved,peivd
coke,kәuk
alright,"ɔ:l'rait"
ufo,"'ju:fәu, ,ju:ef'әu"
heyday,"'heidei"
coveted,ˈkʌvɪtid
wry,rai
engrave,"in'greiv"
bellow,"'belәu"
indignation,".indig'neiʃәn"
crescent,"'kresәnt"
overpower,".әuvә'pauә"
haunted,"'hɔ:ntid"
malignant,"mә'lignәnt"
snarl,snɑ:l
skillful,"'skilful"
panelist,"'pænәlist"
faraway,"'fɑ:rәwei"
pouring,"'pɔ:riŋ"
crayon,"'kreiәn"
countryman,"'kʌntrimәn"
cervical,"'sә:vikәl"
darn,dɑ:n
raccoon,"ræ'ku:n"
mayhem,"'meihem"
yearning,"'jә:niŋ"
bravery,"'breivәri"
prickly,"'prikli"
panties,"'pænti"
correctional,"kә'rekʃәnәl"
brim,brim
guild,gild
gratification,".grætifi'keiʃәn"
clinch,klintʃ
mop,mɒp
originality,"ә.ridʒә'næliti"
timeline,ˈtaɪmlaɪn
oblivion,"ә'bliviәn"
patty,"'pæti"
impartial,"im'pɑ:ʃәl"
boyhood,"'bɒihud"
dishonest,"dis'ɒnist"
evict,"i'vikt"
toxicity,"tɒk'sisiti"
wording,"'wә:diŋ"
antarctic,"ænt'ɑ:ktik"
arson,"'ɑ:sәn"
horseman,"'hɒ:smәn"
iconic,"ai'kɔnik"
tasting,"'teistiŋ"
insidious,"in'sidiәs"
demo,"'demәu"
dosage,"'dәusidʒ"
exertion,"ig'zә:ʃәn"
contraception,".kɒntrә'sepʃәn"
hijack,"'haidʒæk"
ambient,"'æmbiәnt"
swinging,"'swiŋiŋ"
mountainous,"'mauntinәs"
inhibition,".inhi'biʃәn"
unarmed,"'ʌn'ɑ:md"
predicted,priˈdiktid
craving,"'kreiviŋ"
versatility,".vә:sә'tiliti"
negate,"ni'geit"
indistinguishable,".indis'tiŋgwiʃәbl"
contested,kənˈtestid
purposely,"'pә:pәsli"
mounted,"'mauntid"
pairing,"'peәriŋ"
refresh,"ri'freʃ"
handlebar,"'hændlbɑ:"
rotor,"'rәutә"
seduction,"si'dʌkʃәn"
sherry,"'ʃeri"
taco,"'tɑ:kәu"
reddish,"'rediʃ"
scallop,"'skɒlәp"
juxtaposition,".dʒʌkstәpә'ziʃәn"
diffuse,"di'fju:z"
transpire,"træn'spaiә"
exuberant,"ig'zju:bәrәnt"
watchful,"'wɒtʃful"
segregate,"'segrigeit"
delayed,"di'leid"
absurdity,"әb'sә:diti"
sunflower,"'sʌnflauә"
immersion,"i'mә:ʃәn"
horsepower,"'hɒ:spauә"
pagan,"'peigәn"
appalachian,",æpə'leitʃjən"
thyroid,"'θairɒid"
paradoxical,".pærә'dɒksikl"
meditate,"'mediteit"
uterus,"'ju:tәrәs"
emerald,"'emәrәld"
falsely,"'fɒ:lsli"
sadden,sædn
underdog,".ʌndә'dɒg"
blitz,blits
virtuous,"'vә:tʃuәs"
sham,ʃæm
ledger,"'ledʒә"
snowflake,"'snәufleik"
billow,"'bilәu"
abort,"ә'bɒ:t"
concoct,"kәn'kɒkt"
respectfully,"ri'spektfuli"
fateful,"'feitful"
excitedly,"ik'saitidli"
agonizing,"'ægәnaiziŋ"
cramp,kræmp
marinade,".mæri'neid"
animate,"'ænimeit"
toad,tәud
polo,"'pәulәu"
mania,"'meiniә"
dazzle,"'dæzl"
admonish,"әd'mɒniʃ"
exec,"i^'zek"
skyrocket,"'skai.rɒkit"
acclaim,"ә'kleim"
multivariate,",mʌlti'veәriit, -eit"
jargon,"'dʒɑ:gәn"
appease,"ә'pi:z"
senseless,"'senslis"
looting,lu:tɪŋ
tentacle,"'tentәkl"
trance,træns
cinematic,",sini'mætik"
obscurity,"әb'skjuәriti"
blindly,"'blaindli"
moderator,"'mɒdәreitә"
industrialization,"in,dʌstriәlai'zeiʃn"
objectively,"әb'dʒektivli,ɔb-"
unforgettable,".ʌnfә'getәbl"
gill,gil
passageway,"'pæsidʒwei"
arduous,"'ɑ:djuәs"
securely,"si'kjuәli"
detractor,"di'træktә(r)"
firewood,"'faiәwud"
pedagogy,"'pedәgәudʒi"
temperate,"'tempәrәt"
aptitude,"'æptitju:d"
tarp,tɑ:p
defuse,".di:'fju:z"
healthful,"'helθful"
muzzle,"'mʌzl"
incarcerate,"in'kɑ:sәreit"
calculated,"'kælkjuleitid"
stealth,stelθ
incision,"in'siʒәn"
whirlwind,"'hwә:lwind"
psychotherapy,".saikәu'θerәpi"
decreasing,"di'kri:siŋ"
aberration,"æbә'reiʃәn"
technologically,"teknә'lɔdʒikәli"
hunk,hʌŋk
emigration,".emi'greiʃәn"
ornamental,".ɒ:nә'mentl"
finalize,"'fainәlaiz"
bisexual,".bai'seksjuәl"
priceless,"'praislis"
spruce,spru:s
cartilage,"'kɑ:tilidʒ"
crossover,"'krɒsәuvә"
dreamy,"'dri:mi"
connector,"kә'nektә"
epitomize,"i'pitәmaiz"
crotch,krɒtʃ
fiasco,"fi'æskәu"
fungal,"'fʌŋ^әl"
creak,kri:k
punt,pʌnt
bedrock,"bed'rɒk"
flickering,"'flikәriŋ"
ammonia,"ә'mәunjә"
indulgence,"in'dʌldʒәns"
tundra,"'tʌndrә"
bombardment,"bɒm'bɑ:dmәnt"
irritating,"'iriteitiŋ"
legislate,"'ledʒisleit"
pounce,pauns
workable,"'wә:kәbl"
transgression,"træns'greʃәn"
glimmer,"'glimә"
duel,"'dju:әl"
philippine,"'filipi:n"
conclusive,"kәn'klu:siv"
calamity,"kә'læmiti"
tragically,"'trædʒɪklɪ"
steroid,"'stiәrɒid"
floppy,"'flɒpi"
revolving,"ri'vɒlviŋ"
exhaustive,"ig'zɒ:stiv"
heartbreaking,"'hɑ:tbreikiŋ"
byzantine,"bi'zæntain"
symbolically,"sɪm'bɒlɪklɪ"
drained,dreɪnd
lighthouse,"'laithaus"
diving,"'daiviŋ"
stepmother,"'step.mʌðә"
intolerable,"in'tɒlәrәbl"
majesty,"'mædʒәsti"
captor,"'kæptә"
cyclical,"'siklik(e)l"
wildfire,"'waildfaiә"
hurtle,"'hә:tl"
nonproliferation,"'nɔnprәu,lifә'reiʃәn"
thereof,".ðєәr'ɒv"
harmonious,"hɑ:'mәuniәs"
propeller,"prә'pelә"
authorized,"'ɒ:θәraizd"
suffocate,"'sʌfәkeit"
bookcase,"'bukkeis"
dumplings,"'dʌmplɪŋz"
suitor,"'sju:tә"
insulting,"in'sʌltiŋ"
bleachers,"'bli:tʃәz"
excessively,"ik'sesivli"
tantrum,"'tæntrәm"
hallucination,"hә.lu:si'neiʃәn"
congregate,"'kɒŋgrigeit"
silicone,"'silikәun"
manifesto,".mæni'festәu"
aloft,"ә'lɒft"
astonish,"ә'stɒniʃ"
escalation,".eskә'leiʃәn"
irreversible,",iri'vә:sәbl,-sib-"
herald,"'herәld"
splinter,"'splintә"
placid,"'plæsid"
irregularity,"i.regju'læriti"
taxable,"'tæksәbl"
goofy,"'gu:fi"
unreal,"'ʌn'ri(:)әl"
watering,"'wɔ:tәriŋ"
westward,"'westwәd"
sailboat,"'seilbәut"
appreciative,"ә'pri:ʃiәtiv"
smug,smʌg
gravitate,"'græviteit"
metaphorical,"metә'fɒ:rikl"
ta,tɑ:
explanatory,"ik'splænәtәri"
transatlantic,".trænsәt'læntik"
compilation,".kɒmpi'leiʃәn"
aperture,"'æpә.tjuә"
forgo,"fɒ:'gәu"
influenza,".influ'enzә"
ecumenical,",i:kju(:)'menikәl"
revoke,"ri'vәuk"
sweetly,"'swi:tli"
pinnacle,"'pinәkl"
femininity,".femi'niniti"
puberty,"'pju:bәti"
subdue,"sәb'dju:"
dizzying,"'dizi:iŋ"
rotary,"'rәutәri"
tumultuous,"tju:'mʌltʃuәs"
pendulum,"'pendʒәlәm"
shank,ʃæŋk
accuser,"ә'kju:zә"
reverberate,"ri'vә:bәreit"
handwritten,"'hænd.ritәn"
erroneous,"i'rәuniәs"
